Date/Time,Resting Energy (kcal),Source
2026-01-08 16:31:01,2.03,Q
2026-01-08 16:32:01,2.07,Q
2026-01-08 16:33:01,2.07,Q
2026-01-08 16:34:01,2.07,Q
2026-01-08 16:35:01,2.07,Q
2026-01-08 16:36:01,2.07,Q
2026-01-08 16:37:01,2.07,Q
2026-01-08 16:38:01,2.07,Q
2026-01-08 16:39:01,2.07,Q
2026-01-08 16:40:01,2.07,Q
2026-01-08 16:41:01,2.07,Q
2026-01-08 16:42:01,2.07,Q
2026-01-08 16:43:01,2.07,Q
2026-01-08 16:44:01,2.07,Q
2026-01-08 16:45:01,2.07,Q
2026-01-08 16:46:01,2.07,Q
2026-01-08 16:47:01,2.07,Q
2026-01-08 16:48:01,2.07,Q
2026-01-08 16:49:01,2.07,Q
2026-01-08 16:50:01,2.07,Q
2026-01-08 16:51:01,0.53,Q
