Date/Time,Walking + Running Distance (mi),Source
2026-01-08 16:31:01,0.015,Q
2026-01-08 16:32:01,0.042,Q
2026-01-08 16:33:01,0.076,Q
2026-01-08 16:34:01,0.085,Q
2026-01-08 16:35:01,0.085,Q
2026-01-08 16:36:01,0.091,Q
2026-01-08 16:37:01,0.054,Q
2026-01-08 16:38:01,0.102,Q
2026-01-08 16:39:01,0.057,Q
2026-01-08 16:40:01,0.051,Q
2026-01-08 16:41:01,0.058,Q
2026-01-08 16:42:01,0.076,Q
2026-01-08 16:43:01,0.042,Q
2026-01-08 16:44:01,0.087,Q
2026-01-08 16:45:01,0.091,Q
2026-01-08 16:46:01,0.051,Q
2026-01-08 16:47:01,0.048,Q
2026-01-08 16:48:01,0.047,Q
2026-01-08 16:49:01,0.043,Q
2026-01-08 16:50:01,0.031,Q
2026-01-08 16:51:01,0.004,Q
