Date/Time,Active Energy (kcal),Source
2026-01-13 06:26:16,4.95,Q
2026-01-13 06:27:16,5.47,Q
2026-01-13 06:28:16,5.72,Q
2026-01-13 06:29:16,5.39,Q
2026-01-13 06:30:16,5.91,Q
2026-01-13 06:31:16,5.68,Q
2026-01-13 06:32:16,5.24,Q
2026-01-13 06:33:16,5.3,Q
2026-01-13 06:34:16,5.31,Q
2026-01-13 06:35:16,5.72,Q
2026-01-13 06:36:16,5.41,Q
2026-01-13 06:37:16,5.58,Q
2026-01-13 06:38:16,5.7,Q
2026-01-13 06:39:16,5.52,Q
2026-01-13 06:40:16,7.73,Q
2026-01-13 06:41:16,8.05,Q
2026-01-13 06:42:16,10.02,Q
2026-01-13 06:43:16,9.35,Q
2026-01-13 06:44:16,9.71,Q
2026-01-13 06:45:16,11.73,Q
2026-01-13 06:46:16,10.39,Q
2026-01-13 06:47:16,9.3,Q
2026-01-13 06:48:16,2.53,Q
