Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-01-10 16:19:46,101,101,101,,Q
2026-01-10 16:19:51,102,102,102,,Q
2026-01-10 16:19:56,99,99,99,,Q
2026-01-10 16:20:01,94,94,94,,Q
2026-01-10 16:20:03,93,93,93,,Q
2026-01-10 16:20:07,93,93,93,,Q
2026-01-10 16:20:12,96,96,96,,Q
2026-01-10 16:20:19,95,95,95,,Q
2026-01-10 16:20:26,93,93,93,,Q
2026-01-10 16:20:31,92,92,92,,Q
2026-01-10 16:20:36,94,94,94,,Q
2026-01-10 16:20:37,95,95,95,,Q
2026-01-10 16:20:42,93,93,93,,Q
2026-01-10 16:20:51,94,94,94,,Q
2026-01-10 16:20:56,94,94,94,,Q
2026-01-10 16:20:57,94,94,94,,Q
2026-01-10 16:21:02,93,93,93,,Q
2026-01-10 16:21:10,92,92,92,,Q
2026-01-10 16:21:16,93,93,93,,Q
2026-01-10 16:21:17,92,92,92,,Q
2026-01-10 16:21:31,100,100,100,,Q
2026-01-10 16:21:32,93,93,93,,Q
